rule_id,weight,abs_weight
941120,7.48314891165161,7.48314891165161
932130,-2.91795332490491,2.91795332490491
941270,-2.8204213679851153,2.8204213679851153
941160,-1.8445861758929467,1.8445861758929467
941180,1.8443751816522052,1.8443751816522052
941100,-1.7872654322297024,1.7872654322297024
count,1.4724099827869814,1.4724099827869814
941210,1.3508861588070165,1.3508861588070165
921130,-1.3097520851168054,1.3097520851168054
949110,-1.133395474530546,1.133395474530546
941110,0.906576718120901,0.906576718120901
941260,-0.7622535377439071,0.7622535377439071
941170,0.6198127823059381,0.6198127823059381
941370,0.5853015294534549,0.5853015294534549
933130,0.5850573969981048,0.5850573969981048
942230,-0.5477492897517708,0.5477492897517708
941140,0.48539874952532214,0.48539874952532214
942100,-0.44324662286844296,0.44324662286844296
941130,0.3589633675780339,0.3589633675780339
941250,0.32629945661404913,0.32629945661404913
933160,-0.3201715718939223,0.3201715718939223
933100,0.31753762481873965,0.31753762481873965
941220,0.2829747072034441,0.2829747072034441
932100,-0.22479314525703417,0.22479314525703417
933210,0.22238330031829995,0.22238330031829995
943100,0.21334959993684338,0.21334959993684338
932110,-0.15380313764633038,0.15380313764633038
932115,-0.10769491192971894,0.10769491192971894
941190,0.08914790762212957,0.08914790762212957
932150,0.07355190011626689,0.07355190011626689
932160,0.07355190011626689,0.07355190011626689
941310,-0.06278352758426979,0.06278352758426979
934100,-0.03885233180710258,0.03885233180710258
942360,0.013483532917827605,0.013483532917827605
941230,0.010960850385749742,0.010960850385749742
941290,0.0024610175246513504,0.0024610175246513504
941300,0.00022744387784702974,0.00022744387784702974
